what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1397989563433
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1397989563433
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1397989563435
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1397989563436
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1397989563440
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1397989563441
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1397989563442
os,sysinfo,,,"win32",1397989563445
arch,sysinfo,,,"x86",1397989563445
ws,sysinfo,,,"win32",1397989563445
locale,sysinfo,,,"zh_CN",1397989563445
processors,sysinfo,,,"4",1397989563445
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1397989563445
java.runtime.version,sysinfo,,,"1.5.0_09-b01",1397989563445
java.specification.name,sysinfo,,,"Java Platform API Specification",1397989563445
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397989563445
java.specification.version,sysinfo,,,"1.5",1397989563445
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1397989563445
java.version,sysinfo,,,"1.5.0_09",1397989563445
java.vm.info,sysinfo,,,"mixed mode",1397989563445
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1397989563445
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1397989563445
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1397989563445
java.vm.specification.version,sysinfo,,,"1.0",1397989563445
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1397989563445
java.vm.version,sysinfo,,,"1.5.0_09-b01",1397989563445
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397989569129
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397989596415
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1397989596438
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1397989596438
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397989599649
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1397989602023
